County Name,State Name,Confirmed,Newly Confirmed,Death,New Death,Fatality Rate,STATEFP,COUNTYFP,Last Update
Cumberland,Illinois,1,0,0,0,0,17,035,2020-03-16 13:00 EDT
Champaign,Illinois,1,0,0,0,0,17,019,2020-03-16 13:00 EDT
Dallas,Texas,14,0,0,0,0,48,113,2020-03-16 13:00 EDT
Harris,Texas,13,0,0,0,0,48,201,2020-03-16 13:00 EDT
Fort Bend,Texas,9,0,0,0,0,48,157,2020-03-16 13:00 EDT
Collin,Texas,8,0,0,0,0,48,085,2020-03-16 13:00 EDT
Travis,Texas,6,0,0,0,0,48,453,2020-03-16 13:00 EDT
Tarrant,Texas,4,0,0,0,0,48,439,2020-03-16 13:00 EDT
Montgomery,Texas,4,0,0,0,0,48,339,2020-03-16 13:00 EDT
Smith,Texas,4,0,0,0,0,48,423,2020-03-16 13:00 EDT
Bexar,Texas,3,0,0,0,0,48,029,2020-03-16 13:00 EDT
El Paso,Texas,2,0,0,0,0,48,141,2020-03-16 13:00 EDT
Brazoria,Texas,2,0,0,0,0,48,039,2020-03-16 13:00 EDT
Gregg,Texas,1,0,0,0,0,48,183,2020-03-16 13:00 EDT
Lavaca,Texas,1,0,0,0,0,48,285,2020-03-16 13:00 EDT
Bell,Texas,1,0,0,0,0,48,027,2020-03-16 13:00 EDT
Galveston,Texas,1,0,0,0,0,48,167,2020-03-16 13:00 EDT
Hays,Texas,1,0,0,0,0,48,209,2020-03-16 13:00 EDT
Matagorda,Texas,1,0,0,0,0,48,321,2020-03-16 13:00 EDT
Denton,Texas,1,0,0,0,0,48,121,2020-03-16 13:00 EDT
Montgomery,Pennsylvania,24,0,0,0,0,42,091,2020-03-16 13:00 EDT
Philadelphia,Pennsylvania,8,0,0,0,0,42,101,2020-03-16 13:00 EDT
Delaware,Pennsylvania,7,0,0,0,0,42,045,2020-03-16 13:00 EDT
Monroe,Pennsylvania,6,0,0,0,0,42,089,2020-03-16 13:00 EDT
Allegheny,Pennsylvania,6,2,0,0,0,42,003,2020-03-16 13:00 EDT
Cumberland,Pennsylvania,5,0,0,0,0,42,041,2020-03-16 13:00 EDT
Bucks,Pennsylvania,4,0,0,0,0,42,017,2020-03-16 13:00 EDT
Chester,Pennsylvania,2,0,0,0,0,42,029,2020-03-16 13:00 EDT
Wayne,Pennsylvania,1,0,0,0,0,42,127,2020-03-16 13:00 EDT
Northampton,Pennsylvania,1,0,0,0,0,42,095,2020-03-16 13:00 EDT
Pike,Pennsylvania,1,0,0,0,0,42,103,2020-03-16 13:00 EDT
Washington,Pennsylvania,1,0,0,0,0,42,125,2020-03-16 13:00 EDT
Lehigh,Pennsylvania,1,0,0,0,0,42,077,2020-03-16 13:00 EDT
Luzerne,Pennsylvania,1,0,0,0,0,42,079,2020-03-16 13:00 EDT
Hennepin,Minnesota,12,0,0,0,0,27,053,2020-03-16 13:00 EDT
Ramsey,Minnesota,8,0,0,0,0,27,123,2020-03-16 13:00 EDT
Dakota,Minnesota,3,0,0,0,0,27,037,2020-03-16 13:00 EDT
Stearns,Minnesota,3,0,0,0,0,27,145,2020-03-16 13:00 EDT
Anoka,Minnesota,2,0,0,0,0,27,003,2020-03-16 13:00 EDT
Olmsted,Minnesota,2,0,0,0,0,27,109,2020-03-16 13:00 EDT
Carver,Minnesota,1,0,0,0,0,27,019,2020-03-16 13:00 EDT
Wright,Minnesota,1,0,0,0,0,27,171,2020-03-16 13:00 EDT
Renville,Minnesota,1,0,0,0,0,27,129,2020-03-16 13:00 EDT
Washington,Minnesota,1,0,0,0,0,27,163,2020-03-16 13:00 EDT
Waseca,Minnesota,1,0,0,0,0,27,161,2020-03-16 13:00 EDT
Oakland,Michigan,14,0,0,0,0,26,125,2020-03-16 13:00 EDT
Wayne,Michigan,13,0,0,0,0,26,163,2020-03-16 13:00 EDT
Washtenaw,Michigan,7,0,0,0,0,26,161,2020-03-16 13:00 EDT
Kent,Michigan,5,0,0,0,0,26,081,2020-03-16 13:00 EDT
Macomb,Michigan,5,0,0,0,0,26,099,2020-03-16 13:00 EDT
St. Clair,Michigan,1,0,0,0,0,26,147,2020-03-16 13:00 EDT
Ingham,Michigan,1,0,0,0,0,26,065,2020-03-16 13:00 EDT
Montcalm,Michigan,1,0,0,0,0,26,117,2020-03-16 13:00 EDT
Bay,Michigan,1,0,0,0,0,26,017,2020-03-16 13:00 EDT
Charlevoix,Michigan,1,0,0,0,0,26,029,2020-03-16 13:00 EDT
Monroe,Michigan,1,0,0,0,0,26,115,2020-03-16 13:00 EDT
Ottawa,Michigan,1,0,0,0,0,26,139,2020-03-16 13:00 EDT
Clair,Michigan,1,0,0,0,0,26,,2020-03-16 13:00 EDT
Fairfax,Virginia,10,0,0,0,0,51,059,2020-03-16 13:00 EDT
Fairfax,Virginia,10,0,0,0,0,51,600,2020-03-16 13:00 EDT
Arlington,Virginia,9,1,0,0,0,51,013,2020-03-16 13:00 EDT
James City,Virginia,8,0,1,0,0.125,51,095,2020-03-16 13:00 EDT
Loudoun,Virginia,5,0,0,0,0,51,107,2020-03-16 13:00 EDT
Virginia Beach City,Virginia,4,0,0,0,0,51,810,2020-03-16 13:00 EDT
Charlottesville City,Virginia,4,4,0,0,0,51,540,2020-03-16 13:00 EDT
Prince William,Virginia,3,0,0,0,0,51,153,2020-03-16 13:00 EDT
Alexandria City,Virginia,2,0,0,0,0,51,510,2020-03-16 13:00 EDT
Chesterfield,Virginia,2,1,0,0,0,51,041,2020-03-16 13:00 EDT
Spotsylvania,Virginia,1,0,0,0,0,51,177,2020-03-16 13:00 EDT
Hanover,Virginia,1,0,0,0,0,51,085,2020-03-16 13:00 EDT
Prince Edward,Virginia,1,0,0,0,0,51,147,2020-03-16 13:00 EDT
Harrisonburg,Virginia,1,0,0,0,0,51,660,2020-03-16 13:00 EDT
Washington,Oregon,13,0,0,0,0,41,067,2020-03-16 13:00 EDT
Linn,Oregon,10,0,0,0,0,41,043,2020-03-16 13:00 EDT
Deschutes,Oregon,4,0,0,0,0,41,017,2020-03-16 13:00 EDT
Jackson,Oregon,2,0,0,0,0,41,029,2020-03-16 13:00 EDT
Umatilla,Oregon,2,0,0,0,0,41,059,2020-03-16 13:00 EDT
Marion,Oregon,2,0,0,0,0,41,047,2020-03-16 13:00 EDT
Klamath,Oregon,1,0,0,0,0,41,035,2020-03-16 13:00 EDT
Douglas,Oregon,1,0,0,0,0,41,019,2020-03-16 13:00 EDT
Multnomah,Oregon,1,0,1,0,1,41,051,2020-03-16 13:00 EDT
Polk,Oregon,1,0,0,0,0,41,053,2020-03-16 13:00 EDT
Clackamas,Oregon,1,0,0,0,0,41,005,2020-03-16 13:00 EDT
Yamhill,Oregon,1,0,0,0,0,41,071,2020-03-16 13:00 EDT
Davidson,Tennessee,17,0,0,0,0,47,037,2020-03-16 13:00 EDT
Williamson,Tennessee,14,0,0,0,0,47,187,2020-03-16 13:00 EDT
Shelby,Tennessee,2,0,0,0,0,47,157,2020-03-16 13:00 EDT
Sullivan,Tennessee,1,0,0,0,0,47,163,2020-03-16 13:00 EDT
Knox,Tennessee,1,0,0,0,0,47,093,2020-03-16 13:00 EDT
Hamilton,Tennessee,1,0,0,0,0,47,065,2020-03-16 13:00 EDT
Jefferson,Tennessee,1,0,0,0,0,47,089,2020-03-16 13:00 EDT
Rutherford,Tennessee,1,0,0,0,0,47,149,2020-03-16 13:00 EDT
Campbell,Tennessee,1,0,0,0,0,47,013,2020-03-16 13:00 EDT
Cuyahoga,Ohio,14,0,0,0,0,39,035,2020-03-16 13:00 EDT
Butler,Ohio,6,0,0,0,0,39,017,2020-03-16 13:00 EDT
Stark,Ohio,3,0,0,0,0,39,151,2020-03-16 13:00 EDT
Franklin,Ohio,3,0,0,0,0,39,049,2020-03-16 13:00 EDT
Trumbull,Ohio,2,0,0,0,0,39,155,2020-03-16 13:00 EDT
Belmont,Ohio,2,0,0,0,0,39,013,2020-03-16 13:00 EDT
Summit,Ohio,2,0,0,0,0,39,153,2020-03-16 13:00 EDT
Lorain,Ohio,2,0,0,0,0,39,093,2020-03-16 13:00 EDT
Lucas,Ohio,1,0,0,0,0,39,095,2020-03-16 13:00 EDT
Tuscarawas,Ohio,1,0,0,0,0,39,157,2020-03-16 13:00 EDT
Medina,Ohio,1,0,0,0,0,39,103,2020-03-16 13:00 EDT
Geauga,Ohio,1,1,0,0,0,39,055,2020-03-16 13:00 EDT
Montgomery,Maryland,15,3,0,0,0,24,031,2020-03-16 13:00 EDT
Prince George's,Maryland,10,0,0,0,0,24,033,2020-03-16 13:00 EDT
Baltimore,Maryland,4,0,0,0,0,24,005,2020-03-16 13:00 EDT
Baltimore,Maryland,4,0,0,0,0,24,510,2020-03-16 13:00 EDT
Harford,Maryland,2,0,0,0,0,24,025,2020-03-16 13:00 EDT
Charles,Maryland,1,0,0,0,0,24,017,2020-03-16 13:00 EDT
Anne Arundel,Maryland,1,0,0,0,0,24,003,2020-03-16 13:00 EDT
Carroll,Maryland,1,0,0,0,0,24,013,2020-03-16 13:00 EDT
Baltimore City,Maryland,1,0,0,0,0,24,510,2020-03-16 13:00 EDT
Howard,Maryland,1,0,0,0,0,24,027,2020-03-16 13:00 EDT
Talbot,Maryland,1,0,0,0,0,24,041,2020-03-16 13:00 EDT
Fond du Lac,Wisconsin,11,0,0,0,0,55,039,2020-03-16 13:00 EDT
Milwaukee,Wisconsin,7,0,0,0,0,55,079,2020-03-16 13:00 EDT
Dane,Wisconsin,6,0,0,0,0,55,025,2020-03-16 13:00 EDT
Waukesha,Wisconsin,3,0,0,0,0,55,133,2020-03-16 13:00 EDT
Sheboygan,Wisconsin,3,0,0,0,0,55,117,2020-03-16 13:00 EDT
Pierce,Wisconsin,1,0,0,0,0,55,093,2020-03-16 13:00 EDT
Racine,Wisconsin,1,0,0,0,0,55,101,2020-03-16 13:00 EDT
Winnebago,Wisconsin,1,0,0,0,0,55,139,2020-03-16 13:00 EDT
Wood,Wisconsin,1,0,0,0,0,55,141,2020-03-16 13:00 EDT
Wake,North Carolina,14,0,0,0,0,37,183,2020-03-16 13:00 EDT
Mecklenburg,North Carolina,4,0,0,0,0,37,119,2020-03-16 13:00 EDT
Harnett,North Carolina,3,1,0,0,0,37,085,2020-03-16 13:00 EDT
Forsyth,North Carolina,2,0,0,0,0,37,067,2020-03-16 13:00 EDT
Johnston,North Carolina,2,0,0,0,0,37,101,2020-03-16 13:00 EDT
Chatham,North Carolina,1,0,0,0,0,37,037,2020-03-16 13:00 EDT
Durham,North Carolina,1,0,0,0,0,37,063,2020-03-16 13:00 EDT
Cabarrus,North Carolina,1,0,0,0,0,37,025,2020-03-16 13:00 EDT
Onslow,North Carolina,1,0,0,0,0,37,133,2020-03-16 13:00 EDT
Wayne,North Carolina,1,0,0,0,0,37,191,2020-03-16 13:00 EDT
Brunswick,North Carolina,1,0,0,0,0,37,019,2020-03-16 13:00 EDT
Craven,North Carolina,1,0,0,0,0,37,049,2020-03-16 13:00 EDT
Watauga,North Carolina,1,0,0,0,0,37,189,2020-03-16 13:00 EDT
Wilson,North Carolina,1,0,0,0,0,37,195,2020-03-16 13:00 EDT
