County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
Kern,California,1,0,0,0%,35.34281638,-118.7299395,2020-03-19 20:03 EDT,6,29
Bergen,New Jersey,114,0,2,1.80%,40.95949149,-74.074442,2020-03-19 20:03 EDT,34,3
Essex,New Jersey,45,0,1,2.20%,40.78779259,-74.24760059,2020-03-19 20:03 EDT,34,13
Middlesex,New Jersey,40,0,0,0%,40.57936,-74.50067,2020-03-19 20:03 EDT,34,23
Hudson,New Jersey,34,0,1,2.90%,40.74034231,-74.0741097,2020-03-19 20:03 EDT,34,17
Monmouth,New Jersey,32,0,1,3.10%,40.2600411,-74.22194634,2020-03-19 20:03 EDT,34,25
Union,New Jersey,26,0,0,0%,40.69635,-74.26957,2020-03-19 20:03 EDT,34,39
Morris,New Jersey,19,0,0,0%,40.86201902,-74.5442741,2020-03-19 20:03 EDT,34,27
Passaic,New Jersey,18,0,0,0%,40.86034,-74.12374,2020-03-19 20:03 EDT,34,31
Somerset,New Jersey,16,0,0,0%,40.49859,-74.52249,2020-03-19 20:03 EDT,34,35
Mercer,New Jersey,15,0,0,0%,40.28331911,-74.70157374,2020-03-19 20:03 EDT,34,21
Burlington,New Jersey,10,0,0,0%,40.07687,-74.85775,2020-03-19 20:03 EDT,34,5
Camden,New Jersey,8,0,0,0%,39.94525,-75.11913,2020-03-19 20:03 EDT,34,7
Ocean,New Jersey,8,0,0,0%,39.90927434,-74.2969653,2020-03-19 20:03 EDT,34,29
Hunterdon,New Jersey,6,0,0,0%,40.56725317,-74.91217921,2020-03-19 20:03 EDT,34,19
Atlantic,New Jersey,3,0,0,0%,39.4806564,-74.67264306,2020-03-19 20:03 EDT,34,1
Gloucester,New Jersey,2,0,0,0%,39.71720107,-75.14164366,2020-03-19 20:03 EDT,34,15
Warren,New Jersey,1,0,0,0%,40.85732358,-74.997063,2020-03-19 20:03 EDT,34,41
Broward,Florida,96,16,1,1%,26.15224542,-80.4870534,2020-03-19 20:03 EDT,12,11
Palm Beach,Florida,29,8,0,0%,26.70288,-80.03661,2020-03-19 20:03 EDT,12,99
Hillsborough,Florida,19,5,0,0%,27.93023096,-82.30785534,2020-03-19 20:03 EDT,12,57
Collier,Florida,18,5,0,0%,26.11625563,-81.34013334,2020-03-19 20:03 EDT,12,21
Duval,Florida,15,1,0,0%,30.47844,-81.62557,2020-03-19 20:03 EDT,12,31
Orange,Florida,15,4,2,13.30%,41.33141,-74.35667,2020-03-19 20:03 EDT,12,95
Pinellas,Florida,14,2,0,0%,27.9313392,-82.72194025,2020-03-19 20:03 EDT,12,103
Lee,Florida,11,0,1,9.10%,26.57965162,-81.82468531,2020-03-19 20:03 EDT,12,71
Alachua,Florida,10,3,0,0%,29.79309,-82.49428,2020-03-19 20:03 EDT,12,1
Manatee,Florida,9,1,1,11.10%,27.49643,-82.53954,2020-03-19 20:03 EDT,12,81
Volusia,Florida,9,0,0,0%,29.16934,-81.52251,2020-03-19 20:03 EDT,12,127
Osceola,Florida,9,1,0,0%,28.06812578,-81.14519655,2020-03-19 20:03 EDT,12,97
Seminole,Florida,8,1,0,0%,28.71700144,-81.23632262,2020-03-19 20:03 EDT,12,117
Sarasota,Florida,5,1,0,0%,27.33889,-82.53887,2020-03-19 20:03 EDT,12,115
Leon,Florida,4,3,1,25%,30.45796803,-84.27794359,2020-03-19 20:03 EDT,12,73
Okaloosa,Florida,4,0,0,0%,30.70702353,-86.59650821,2020-03-19 20:03 EDT,12,91
Pasco,Florida,4,1,0,0%,28.32453,-82.33624,2020-03-19 20:03 EDT,12,101
Clay,Florida,4,0,2,50%,29.98305516,-81.85778209,2020-03-19 20:03 EDT,12,19
St. Johns,Florida,4,0,0,0%,30.12051,-81.62536,2020-03-19 20:03 EDT,12,109
Citrus,Florida,3,0,0,0%,28.8507789,-82.46594866,2020-03-19 20:03 EDT,12,17
Santa Rosa,Florida,2,1,1,50%,30.73147611,-87.01761385,2020-03-19 20:03 EDT,12,113
Lake,Florida,2,0,0,0%,28.76261973,-81.71155351,2020-03-19 20:03 EDT,12,69
Polk,Florida,2,0,0,0%,27.94887824,-81.69776009,2020-03-19 20:03 EDT,12,105
Brevard,Florida,2,0,0,0%,28.29348419,-80.73235631,2020-03-19 20:03 EDT,12,9
Gadsden,Florida,1,0,0,0%,30.57948492,-84.61351742,2020-03-19 20:03 EDT,12,39
Charlotte,Florida,1,0,0,0%,26.90848328,-81.90343918,2020-03-19 20:03 EDT,12,15
Nassau,Florida,1,0,0,0%,30.61077673,-81.80173997,2020-03-19 20:03 EDT,12,89
Escambia,Florida,1,0,0,0%,30.70048478,-87.37722154,2020-03-19 20:03 EDT,12,33
Walton County,Florida,1,0,0,0%,30.65939599,-86.16268062,2020-03-19 20:03 EDT,12,131
Sumter,Florida,1,0,0,0%,28.70474449,-82.0809939,2020-03-19 20:03 EDT,12,119
Orleans,Louisiana,231,35,6,2.60%,30.03843182,-89.90055149,2020-03-19 20:03 EDT,22,71
Jefferson,Louisiana,62,17,1,1.60%,29.9596,-90.17182,2020-03-19 20:03 EDT,22,51
St. Tammany,Louisiana,10,0,0,0%,30.39408,-89.89507,2020-03-19 20:03 EDT,22,103
Caddo,Louisiana,7,1,0,0%,32.75632,-93.97374,2020-03-19 20:03 EDT,22,17
East Baton Rouge,Louisiana,5,2,0,0%,30.53926541,-91.09217012,2020-03-19 20:03 EDT,22,33
Lafourche,Louisiana,4,1,0,0%,29.76529,-90.76881,2020-03-19 20:03 EDT,22,57
St. Charles,Louisiana,4,1,0,0%,29.9052798,-90.3824403,2020-03-19 20:03 EDT,22,89
Terrebonne,Louisiana,4,1,0,0%,29.43006669,-90.87546183,2020-03-19 20:03 EDT,22,109
St. Bernard,Louisiana,4,1,0,0%,29.86715,-89.85868,2020-03-19 20:03 EDT,22,87
Bossier,Louisiana,2,1,0,0%,32.67886191,-93.60531071,2020-03-19 20:03 EDT,22,15
St. John the Baptist,Louisiana,2,1,0,0%,30.07866499,-90.54541322,2020-03-19 20:03 EDT,22,95
Ascension,Louisiana,2,1,0,0%,30.20549338,-90.9088583,2020-03-19 20:03 EDT,22,5
Washington,Louisiana,2,1,0,0%,30.85339216,-90.04050446,2020-03-19 20:03 EDT,22,117
Lafayette,Louisiana,2,2,0,0%,30.20678822,-92.06389372,2020-03-19 20:03 EDT,22,55
St. James,Louisiana,1,0,1,100%,30.41825,-91.09344,2020-03-19 20:03 EDT,22,93
Plaquemines,Louisiana,1,1,0,0%,29.48327508,-89.6525564,2020-03-19 20:03 EDT,22,75
West Baton Rouge,Louisiana,1,1,0,0%,30.45019,-91.20511,2020-03-19 20:03 EDT,22,121
Cook,Illinois,178,0,1,0.60%,41.84014932,-87.81682325,2020-03-19 20:03 EDT,17,31
DuPage,Illinois,45,0,0,0%,41.85194049,-88.08561127,2020-03-19 20:03 EDT,17,43
Lake,Illinois,18,0,0,0%,42.32327645,-88.00353452,2020-03-19 20:03 EDT,17,97
Will,Illinois,8,5,0,0%,41.44505655,-87.97865231,2020-03-19 20:03 EDT,17,197
Kane,Illinois,4,0,0,0%,41.93887565,-88.42863925,2020-03-19 20:03 EDT,17,89
McHenry,Illinois,4,0,0,0%,42.32621,-88.26731,2020-03-19 20:03 EDT,17,111
St. Clair,Illinois,3,0,0,0%,38.46996471,-89.92749975,2020-03-19 20:03 EDT,17,163
Sangamon,Illinois,3,0,0,0%,39.75815792,-89.6588874,2020-03-19 20:03 EDT,17,167
Clinton,Illinois,3,0,0,0%,40.1536,-88.9645,2020-03-19 20:03 EDT,17,27
Peoria,Illinois,3,0,0,0%,40.69236,-89.58799,2020-03-19 20:03 EDT,17,143
Kendall,Illinois,2,0,0,0%,41.59058793,-88.42880574,2020-03-19 20:03 EDT,17,93
Woodford,Illinois,1,0,0,0%,40.84437,-89.02781,2020-03-19 20:03 EDT,17,203
Cumberland,Illinois,1,0,0,0%,39.27332831,-88.24016822,2020-03-19 20:03 EDT,17,35
Champaign,Illinois,1,0,0,0%,40.1142,-88.2435,2020-03-19 20:03 EDT,17,19
Winnebago,Illinois,1,0,0,0%,42.26568,-89.24139,2020-03-19 20:03 EDT,17,201
