County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
Sheboygan,Wisconsin,3,0,0,0%,43.74978,-87.71343,2020-03-15 16:23 EDT
Pierce,Wisconsin,1,0,0,0%,44.55427,-87.49075,2020-03-15 16:23 EDT
Racine,Wisconsin,1,0,0,0%,42.72564,-87.78955,2020-03-15 16:23 EDT
Winnebago,Wisconsin,1,0,0,0%,44.07516,-88.52522,2020-03-15 16:23 EDT
Montgomery,Maryland,12,6,0,0%,39.13636819,-77.20403165,2020-03-15 16:23 EDT
Prince George's,Maryland,9,2,0,0%,38.82838616,-76.84587073,2020-03-15 16:23 EDT
Baltimore,Maryland,3,1,0,0%,39.4431666,-76.6165693,2020-03-15 16:23 EDT
Harford,Maryland,2,0,0,0%,39.55444035,-76.31583955,2020-03-15 16:23 EDT
Anne Arundel,Maryland,2,1,0,0%,39.00889701,-76.60328627,2020-03-15 16:23 EDT
Charles,Maryland,1,0,0,0%,38.47410423,-77.01286707,2020-03-15 16:23 EDT
Carroll,Maryland,1,0,0,0%,39.5633308,-77.0153276,2020-03-15 16:23 EDT
Baltimore City,Maryland,1,0,0,0%,39.30194126,-76.61111168,2020-03-15 16:23 EDT
Salt Lake,Utah,14,0,0,0%,40.76031,-111.88822,2020-03-15 16:23 EDT
Non-Utah resident,Utah,7,2,0,0%,39.32372519,-111.6782484,2020-03-15 16:23 EDT
Davis,Utah,3,1,0,0%,41.0375594,-112.2019434,2020-03-15 16:23 EDT
Summit,Utah,2,0,0,0%,37.80107,-112.93511,2020-03-15 16:23 EDT
Weber-Morgan,Utah,1,0,0,0%,41.17127182,-111.8364943,2020-03-15 16:23 EDT
Clark,Nevada,16,0,0,0%,39.5641,-119.48076,2020-03-15 16:23 EDT
Washoe,Nevada,7,3,0,0%,40.68696023,-119.665991,2020-03-15 16:23 EDT
Ormsby,Nevada,1,0,0,0%,36.1554795,-115.1639033,2020-03-15 16:23 EDT
